node1	node2	MISIM_similarity_value
hsa-mir-217	hsa-mir-140	0.0553
hsa-mir-217	hsa-mir-149	0.1875
hsa-mir-217	hsa-mir-34c	0.15
hsa-mir-217	hsa-mir-22	0.1256
hsa-mir-217	hsa-mir-379	0
hsa-mir-217	hsa-mir-382	0.0235
hsa-mir-217	hsa-mir-193b	0.1186
hsa-mir-217	hsa-mir-188	0.0909
hsa-mir-217	hsa-mir-31	0.1557
hsa-mir-217	hsa-mir-33a	0.0928
hsa-mir-217	hsa-mir-96	0.0213
hsa-mir-217	hsa-mir-30b	0.1194
hsa-mir-217	hsa-mir-181d	0.1007
hsa-mir-217	hsa-mir-141	0.2037
hsa-mir-217	hsa-mir-342	0.0344
hsa-mir-217	hsa-mir-127	0.2104
hsa-mir-217	hsa-mir-20a	0.1758
hsa-mir-217	hsa-mir-376b	0.2093
hsa-mir-217	hsa-mir-331	0
hsa-mir-217	hsa-mir-224	0.1296
hsa-mir-217	hsa-mir-26b	0.0167
hsa-mir-217	hsa-mir-18a	0.1392
hsa-mir-217	hsa-mir-629	0
hsa-mir-217	hsa-mir-363	0.0417
hsa-mir-217	hsa-mir-455	0.2195
hsa-mir-217	hsa-mir-495	0.0606
hsa-mir-217	hsa-let-7d	0.2987
hsa-mir-217	hsa-mir-660	0.0732
hsa-mir-217	hsa-mir-200b	0.2817
hsa-mir-217	hsa-mir-197	0.0619
hsa-mir-217	hsa-mir-491	0.1621
hsa-mir-217	hsa-mir-29a	0.0956
hsa-mir-217	hsa-let-7g	0.3154
hsa-mir-217	hsa-mir-139	0.1887
hsa-mir-217	hsa-mir-203	0.1506
hsa-mir-217	hsa-mir-190	1
hsa-mir-217	hsa-mir-652	0
hsa-mir-217	hsa-mir-421	0.2727
hsa-mir-217	hsa-mir-221	0.1814
hsa-mir-217	hsa-mir-132	0.2781
hsa-mir-217	hsa-mir-99b	0.138
hsa-mir-217	hsa-mir-19a	0.1271
hsa-mir-217	hsa-mir-155	0.1548
hsa-mir-217	hsa-mir-25	0.3923
hsa-mir-217	hsa-mir-451	0.156
hsa-mir-217	hsa-mir-145	0.1645
hsa-mir-217	hsa-mir-142	0.0739
hsa-mir-217	hsa-mir-486	0
hsa-mir-217	hsa-mir-146a	0.1574
hsa-mir-217	hsa-mir-539	0
hsa-mir-217	hsa-mir-93	0.1789
hsa-mir-217	hsa-mir-20b	0.1743
hsa-mir-217	hsa-let-7i	0.3137
hsa-mir-217	hsa-mir-151	0.1414
hsa-mir-217	hsa-mir-431	0.033
hsa-mir-217	hsa-mir-181c	0.0736
hsa-mir-217	hsa-mir-429	0.1468
hsa-mir-217	hsa-mir-381	0
hsa-mir-217	hsa-mir-10a	0.1448
hsa-mir-217	hsa-mir-34b	0.1434
hsa-mir-217	hsa-mir-136	0
hsa-mir-217	hsa-let-7b	0.2858
hsa-mir-217	hsa-mir-222	0.2014
hsa-mir-217	hsa-mir-21	0.1311
hsa-mir-217	hsa-mir-377	0.0383
hsa-mir-217	hsa-mir-10b	0.1455
hsa-mir-217	hsa-mir-23a	0
hsa-mir-217	hsa-mir-23b	0.0782
hsa-mir-217	hsa-mir-33b	0.0928
hsa-mir-217	hsa-mir-769	0
hsa-mir-217	hsa-mir-154	0.0543
hsa-mir-217	hsa-mir-204	0.1026
hsa-mir-217	hsa-mir-106b	0.1283
hsa-mir-217	hsa-mir-150	0.0789
hsa-mir-217	hsa-mir-337	0.0606
hsa-mir-217	hsa-mir-487b	0
hsa-mir-217	hsa-mir-215	0.1477
hsa-mir-217	hsa-mir-212	0.0445
hsa-mir-217	hsa-mir-452	0.0344
hsa-mir-217	hsa-mir-15a	0.1013
hsa-mir-217	hsa-mir-659	0
hsa-mir-217	hsa-mir-497	0.1363
hsa-mir-217	hsa-mir-423	0
hsa-mir-217	hsa-mir-143	0.1201
hsa-mir-217	hsa-mir-323	0.2426
hsa-mir-217	hsa-mir-152	0
hsa-mir-217	hsa-mir-330	0
hsa-mir-217	hsa-let-7e	0.2708
hsa-mir-217	hsa-mir-223	0.2092
hsa-mir-217	hsa-mir-34a	0.1271
hsa-mir-217	hsa-let-7c	0.2853
hsa-mir-217	hsa-mir-17	0.1717
hsa-mir-217	hsa-mir-146b	0.2495
hsa-mir-217	hsa-mir-501	0
hsa-mir-217	hsa-mir-296	0.1232
hsa-mir-217	hsa-mir-186	0.6667
hsa-mir-217	hsa-mir-370	0.0353
hsa-mir-217	hsa-mir-125a	0.1219
hsa-mir-217	hsa-mir-28	0.098
hsa-mir-217	hsa-mir-183	0.1086
hsa-mir-217	hsa-mir-196b	0.1062
hsa-mir-217	hsa-mir-195	0.0861
hsa-mir-217	hsa-mir-107	0.3101
hsa-mir-217	hsa-mir-192	0.1439
hsa-mir-217	hsa-mir-301b	0.1698
hsa-mir-217	hsa-mir-409	0.0909
hsa-mir-217	hsa-mir-185	0
hsa-mir-217	hsa-mir-378	0.1547
hsa-mir-217	hsa-mir-542	0.0294
hsa-mir-217	hsa-mir-130b	0.1098
hsa-mir-217	hsa-mir-135b	0.162
hsa-mir-217	hsa-mir-106a	0.2952
hsa-mir-217	hsa-mir-148a	0.1258
hsa-mir-217	hsa-mir-340	0.1818
hsa-mir-217	hsa-mir-615	0
hsa-mir-217	hsa-mir-654	0
hsa-mir-217	hsa-mir-200c	0.1183
hsa-mir-217	hsa-mir-148b	0.1363
hsa-mir-217	hsa-mir-30a	0.0701
hsa-mir-217	hsa-mir-324	0
hsa-mir-217	hsa-mir-598	0
hsa-mir-217	hsa-mir-100	0.1749
hsa-mir-217	hsa-mir-375	0.16
hsa-mir-217	hsa-mir-338	0.1626
hsa-mir-217	hsa-mir-15b	0.3018
hsa-mir-217	hsa-mir-30e	0.1067
hsa-mir-217	hsa-mir-339	0.1142
hsa-mir-217	hsa-mir-32	0.3413
hsa-mir-217	hsa-mir-424	0.0837
hsa-mir-217	hsa-mir-134	0
hsa-mir-217	hsa-mir-200a	0.1809
hsa-mir-217	hsa-mir-18b	0.2226
hsa-mir-217	hsa-mir-328	0
hsa-mir-217	hsa-mir-95	0.4256
hsa-mir-217	hsa-mir-532	0.04
hsa-mir-217	hsa-mir-214	0.2704
hsa-mir-217	hsa-mir-210	0.0803
hsa-mir-217	hsa-mir-205	0.1114
hsa-mir-217	hsa-mir-144	0.2611
hsa-mir-217	hsa-mir-484	0.1047
hsa-mir-217	hsa-mir-376c	0.1225
hsa-mir-217	hsa-mir-99a	0.1464
hsa-mir-217	hsa-mir-130a	0.1991
hsa-mir-217	hsa-mir-27a	0.1605
hsa-mir-217	hsa-mir-27b	0.0711
hsa-mir-217	hsa-mir-454	0.0732
hsa-mir-217	hsa-mir-362	0
hsa-mir-217	hsa-mir-182	0.0462
hsa-mir-217	hsa-mir-98	0.1158
hsa-mir-217	hsa-mir-92b	0.1818
hsa-mir-217	hsa-mir-432	0
hsa-mir-217	hsa-mir-411	0
hsa-mir-217	hsa-mir-335	0.1648
hsa-mir-217	hsa-mir-29c	0.0717
hsa-mir-217	hsa-mir-30d	0.1347
hsa-mir-217	hsa-mir-187	0.0276
hsa-mir-217	hsa-mir-301a	0.1698
hsa-mir-217	hsa-mir-199b	0.0555
hsa-mir-217	hsa-mir-126	0.1115
hsa-mir-217	hsa-mir-191	0.417
hsa-mir-140	hsa-mir-149	0.1051
hsa-mir-140	hsa-mir-34c	0.2634
hsa-mir-140	hsa-mir-22	0.287
hsa-mir-140	hsa-mir-379	0.4
hsa-mir-140	hsa-mir-382	0.0134
hsa-mir-140	hsa-mir-193b	0.4568
hsa-mir-140	hsa-mir-188	0.4136
hsa-mir-140	hsa-mir-31	0.0333
hsa-mir-140	hsa-mir-33a	0.4136
hsa-mir-140	hsa-mir-96	0.0336
hsa-mir-140	hsa-mir-30b	0.2427
hsa-mir-140	hsa-mir-181d	0.4022
hsa-mir-140	hsa-mir-141	0.1149
hsa-mir-140	hsa-mir-342	0.0558
hsa-mir-140	hsa-mir-127	0.123
hsa-mir-140	hsa-mir-20a	0.1373
hsa-mir-140	hsa-mir-376b	0.0278
hsa-mir-140	hsa-mir-331	0
hsa-mir-140	hsa-mir-224	0.2449
hsa-mir-140	hsa-mir-26b	0.0403
hsa-mir-140	hsa-mir-18a	0.1807
